ID;en;fr;
TXT_NOT_SUPPORTED;Animations are not supported in Java ME and BlackBerry.;Les animations ne sont pas supportées en JavaME et BlackBerry.;
TXT_START;Touch the screen to start animation.;Toucher l'écran pour démarrer l'animation.;
