ID;en;fr;
HTTP_UPLOAD_EXAMPLE;HttpUpload Example;Exemple HttpUpload;
UPLOAD_IMAGE;Click to upload the files;Cliquez pour uploader les fichiers;
UPLOADING;Uploading;Uploading;
